,State Name,District,Rural/Urban_rur,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Rural/Urban_urb,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
42,Punjab,Faridkot,Rural,99946.0,48973.54,7695.842000000001,80056.746,Urban,58916.99999999999,23802.467999999997,4772.276999999999,54674.975999999995
43,Punjab,Bathinda,Rural,218159.0,111479.24900000001,16143.766000000001,183908.037,Urban,137563.0,44570.412000000004,7428.402000000001,128071.153
44,Punjab,Mansa,Rural,145603.0,67705.395,10483.416,91584.287,Urban,50786.0,17318.026,2996.3740000000003,43168.1
45,Punjab,Patiala,Rural,299279.0,143653.91999999998,21248.808999999997,231342.667,Urban,218090.0,70224.98000000001,9159.78,211329.21000000002
46,Punjab,Amritsar,Rural,275477.0,152063.304,21487.206,167490.016,Urban,385476.0,163827.30000000002,20815.704,360034.58400000003
47,Punjab,Tarn Taran,Rural,222717.0,124053.369,18040.077,144320.616,Urban,44457.0,19383.252,3156.4469999999997,38988.789
48,Punjab,Rupnagar,Rural,148162.0,52745.672,8889.72,84304.17799999999,Urban,60537.0,16708.212,3026.85,55512.429000000004
49,Punjab,Sahibzada Ajit Singh Nagar,Rural,117293.0,50670.57600000001,8562.389000000001,71196.85100000001,Urban,174042.0,41247.954,6613.596,160814.80800000002
50,Punjab,Sangrur,Rural,292156.0,133515.29200000002,17821.516,229634.61599999998,Urban,156788.0,53935.072,7369.036000000001,144244.96000000002
51,Punjab,Barnala,Rural,102577.0,50980.769,6667.505,82266.754,Urban,54222.0,22231.02,3199.0980000000004,48908.244000000006
52,Chandigarh,Chandigarh,Rural,8911.0,4179.259,249.50799999999998,7841.68,Urban,289456.0,76995.296,10130.96,253563.45599999998
53,Uttarakhand,Uttarkashi,Rural,112148.0,30279.96,3364.44,44298.46,Urban,9061.0,1440.699,72.488,8290.815
54,Uttarakhand,Chamoli,Rural,163434.0,42983.142,4085.85,76813.98,Urban,22906.0,2657.096,206.154,20042.75
55,Uttarakhand,Rudraprayag,Rural,112705.0,22315.59,2141.395,57479.549999999996,Urban,4454.0,432.03799999999995,13.362,4079.8639999999996
56,Uttarakhand,Tehri Garhwal,Rural,227059.0,62668.28400000001,6357.652,113756.55900000001,Urban,27177.0,2880.7619999999997,190.23899999999998,26062.743
57,Uttarakhand,Dehradun,Rural,228244.99999999997,60941.41499999999,8901.554999999998,170270.76999999996,Urban,269393.0,54956.17199999999,6465.432,256462.136
58,Uttarakhand,Garhwal,Rural,279682.0,70200.18200000002,5034.276000000001,135086.406,Urban,36780.0,5296.320000000001,404.58000000000004,34830.66
59,Uttarakhand,Pithoragarh,Rural,183687.0,46656.49799999999,4224.8009999999995,88169.76,Urban,26256.0,2599.344,131.28,25337.04
60,Uttarakhand,Bageshwar,Rural,96031.0,24103.781,2784.899,51376.585,Urban,3879.9999999999995,353.08,34.92,3491.9999999999995
61,Uttarakhand,Almora,Rural,260056.0,62673.496,4420.952,134188.896,Urban,21082.0,3056.89,274.066,19374.358
62,Uttarakhand,Champawat,Rural,85202.0,34336.405999999995,5112.12,34421.608,Urban,12838.999999999998,3607.759,757.501,10258.360999999999
63,Uttarakhand,Nainital,Rural,193086.0,61208.261999999995,9847.385999999999,134001.684,Urban,105577.0,20904.246,3167.31,100086.996
64,Uttarakhand,Udham Singh Nagar,Rural,269406.0,123657.35399999999,18050.202,153292.014,Urban,145253.0,52872.092,5810.12,133632.76
65,Uttarakhand,Hardwar,Rural,301828.0,145782.924,15996.884,151517.65600000002,Urban,186183.0,47104.299,4096.026,172405.45799999998
66,Haryana,Panchkula,Rural,70895.0,24955.040000000005,3473.8550000000005,31193.800000000003,Urban,93656.0,21259.911999999997,4401.832,82042.65599999999
67,Haryana,Ambala,Rural,175365.0,77511.33,7540.695,89611.51500000001,Urban,139891.0,39729.044,4616.403,124922.663
68,Haryana,Yamunanagar,Rural,214464.0,101012.544,13725.696,98653.43999999999,Urban,143259.0,48564.80099999999,5730.36,131655.021
69,Haryana,Kurukshetra,Rural,203553.0,93634.38,8752.778999999999,140655.123,Urban,88268.0,26127.328,3089.3799999999997,81559.632
70,Haryana,Kaithal,Rural,231091.0,112079.135,11092.367999999999,133339.507,Urban,75696.0,27931.824,3103.536,62600.592000000004
71,Haryana,Karnal,Rural,292682.0,139023.95,14341.418000000001,200779.85199999998,Urban,135920.0,39824.560000000005,3533.92,124502.72
72,Haryana,Panipat,Rural,173502.0,82586.952,7287.084,115725.834,Urban,153804.0,59983.56,4460.316,145959.996
